epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
90,12755.2,1.01179,0.371,0.00071,0.95606,0.89709,0.95017,0.69657,1.11658,0.45168,0.00151,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,13155.5,0.99571,0.36201,0.00077,0.94892,0.89908,0.94797,0.69438,1.1185,0.44832,0.00151,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,13553.2,0.97376,0.34415,0.00075,0.95044,0.89724,0.947,0.69245,1.11934,0.4497,0.00152,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,13951.5,0.95696,0.33196,0.00072,0.95107,0.9,0.94684,0.69119,1.11787,0.45411,0.00151,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,14349.4,0.94909,0.33114,0.00071,0.95355,0.89933,0.94642,0.6893,1.11944,0.45936,0.00151,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,14747.3,0.93838,0.32879,0.00069,0.95208,0.90108,0.94521,0.68762,1.12286,0.45927,0.00152,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,15145,0.92566,0.31765,0.00069,0.94663,0.90325,0.94393,0.68624,1.12132,0.46381,0.00152,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,15543,0.91134,0.31663,0.00068,0.94673,0.90562,0.94314,0.68559,1.11935,0.46522,0.00151,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,15940.9,0.90577,0.31824,0.00066,0.9457,0.9071,0.94327,0.68458,1.1211,0.4686,0.00151,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,16339.3,0.89623,0.31033,0.00065,0.94631,0.90614,0.94218,0.68408,1.11778,0.46885,0.00151,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,16737.5,0.88162,0.30463,0.00064,0.94724,0.90559,0.9411,0.68276,1.11639,0.47045,0.00151,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
